formula_id,formula_name_en,equation_latex,source_id,printed_page,pdf_page,symbol_definitions,units,assumptions,validity_domain,applicability_to_observable,verification_status,iml_status,notes
F001,Virtual/effective height from group delay,"h' = c\,\tau_g/2",A3L007,14,16,h'=virtual height; c=speed of light; tau_g=group delay round-trip,km / s / s,VS; descriptive 1/2 standard for round-trip,vertical sounding,height axis interpretation,verified_with_assumption,allowed,"Descriptive in source; do not treat as Amp_all metrology"
F002,True height requires N(h) inversion,"h_{\mathrm{true}}\neq h'",A3L007,14,16,h_true via N(h) profile,—,inversion method required,VS,nominal 2.5 km bins ≠ true height,exact_verified,allowed,"Explicit prohibition of equating index×2.5 with true height"
F003,O/X mode separation,O/X separable by circular polarization (DPS-like),A3L007,15,17,O=ordinary; X=extraordinary,—,polarimetric reception,digisonde/polarimetric VS,differential diagnosis of branches,exact_verified,allowed,"Full Appleton–Hartree not verified here; Amp_all has no polarimetry guarantee"
F004,Observational midlatitude Spread-F definition,"SF: range-diffuse and/or echoes above f_c",A3L018,241,2,range-diffuse; f>fc,observational,vertical sounding midlatitude,midlatitude observational,visual frequency/range/mixed classes,exact_verified,allowed,"Not a causal law"
F005,Appleton–Hartree (candidate),,,,,,,,,"Not found with page in Статьи",candidate_not_ready,disabled,"Do not reconstruct from memory"
F006,Plasma frequency (candidate),"\omega_p^2 = N_e e^2/(\varepsilon_0 m_e)",,,,,,,,"Page in Статьи not verified",candidate_not_ready,disabled,"Do not insert without exact source/page"
F007,Geometric terminator depression,"\alpha_h=\arccos(R_E/(R_E+h))",A3-D0,n/a,n/a,Re≈6371 km; h=reference height,radians,sphere; no refraction,solar geometry comparison,not used for IML-1 morphology,verified_with_assumption,disabled_for_morphology_mvp,"Context plugin only; disabled in morphology engine"
SSIM,Structural Similarity Index,SSIM engineering definition,—,—,—,image intensities,dimensionless,image comparison,image analysis,comparison diagnostic only,methodological_image_analysis,allowed_as_method,"Not an ionospheric law"
NCC,Normalized cross-correlation,NCC engineering definition,—,—,—,image intensities,dimensionless,image comparison,image analysis,comparison diagnostic only,methodological_image_analysis,allowed_as_method,"Not an ionospheric law"
HAUSDORFF,Hausdorff distance,Hausdorff engineering definition,—,—,—,point sets,pixels/bins,mask geometry,image analysis,comparison diagnostic only,methodological_image_analysis,allowed_as_method,"Not an ionospheric law"
